course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
IMC CAPSTONE,Non Scheduled,COMI,700L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Master IMC', '500L', 'Graduate', 'C', ''], ['And', '', '', '', 'Master IMC', '505L', 'Graduate', 'C', ''], ['And', '', '', '', 'Master IMC', '600L', 'Graduate', 'C', ''], ['And', '', '', '', 'Master IMC', '605L', 'Graduate', 'C', ''], ['And', '', '', '', 'Master IMC', '610L', 'Graduate', 'C', ''], ['And', '', '', '', 'Master IMC', '615L', 'Graduate', 'C', '']]",MA Communication CX,MA Communication CX,3,121
MYSTERIOUS PEOPLE OF ANC ITALY,Lorenzo di Medici,HIST,238L,,,Liberal Arts LA,School of Liberal Arts LA,3,129
CFA® LEVEL,Lecture,BUS,416N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '320N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,128
ENGLISH INTERN,Internship,ENG,495N,,,Liberal Arts LA,School of Liberal Arts LA,2,130
"ART IN ROME, ANCIENT - BAROQUE",Marist Abroad,ART,102L,,,Communication and The Arts CO,School Communication Arts CO,3,131
MANAG & LEADING IN ORGANIZATIO,On Line Class,ORG,101N,,,Professional Programs PP,Professional Programs PP,3,132
BASIC SCULPTURE,Marist Abroad,ART,105N,,,Communication and The Arts CO,School Communication Arts CO,3,133
SYS-INFO CON ORG,On Line Class,MSIS,527L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,136
ENG INTERN,Internship,ENG,498N,,,Liberal Arts LA,School of Liberal Arts LA,6,137
ABNORMAL PSYCH,Marist Abroad,PSYC,202L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,134
ANCIENT ROME,Lecture,HIST,247L,,,Liberal Arts LA,School of Liberal Arts LA,3,138
STRUCTURED FINANCE,Lecture,BUS,417N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '320N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,135
BASIC DRAWING,Lecture,ART,110N,,,Communication and The Arts CO,School Communication Arts CO,3,140
DATA COMMUNICATIONS,Lecture,CMPT,306N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,141
DATA MGT I,Lecture,MSIS,537L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,142
WRITING FOR COLLEGE-HONORS,Lecture,ENGH,120L,,,Liberal Arts LA,School of Liberal Arts LA,3,143
MEDIEVAL EUROPE,Lecture,HIST,248L,,,Liberal Arts LA,School of Liberal Arts LA,3,144
