section,instructor,meeting_times,campus,seat_cap,data_id,course_id
114,"Huang, Feiqi","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '02:00 PM', '03:15 PM', 'Lecture', 'Dyson Building', '133', '01/21/2020', '05/15/2020')]",Marist College Campus,24,138660,10
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist Abroad,0,147439,16
111,"DeCusatis, Casimer","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '12:30 PM', '01:45 PM', 'Lecture', 'Hancock', '0005', '01/21/2020', '05/15/2020')]",Marist College Campus,25,140203,23
271,"VanDeusen, Rachael","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '03/23/2020', '05/15/2020')]",Marist College Campus,0,146762,24
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist Abroad,0,147390,11
116,"Slokenbergs, Sandra","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '08:00 AM', '09:15 AM', 'Lecture', 'Lowell Thomas', '021', '01/21/2020', '05/15/2020')]",Marist College Campus,20,139319,7
121,"Raines, Julie","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist College Campus,1,140354,9
200,"Miller, Mishael","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '08:00 PM', '09:15 PM', 'Lecture', 'Music', '2220', '01/21/2020', '05/15/2020')]",Marist College Campus,15,138950,25
792,"Snyder, James","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'On-Line', 'None', 'None', '03/23/2020', '05/15/2020')]",On-Line,0,150961,26
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist Abroad,0,140666,27
111,"Gaeke, Melissa","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist College Campus,0,140611,28
111,"Kuster, Scott","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '05:00 PM', '06:15 PM', 'Lecture', 'Donnelly', '100', '01/21/2020', '05/15/2020')]",Marist College Campus,30,139738,29
