course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
ELEM FREN I,Lecture,FREN,101L,,,Liberal Arts LA,School of Liberal Arts LA,3,59
INTRO LINGUISTIC,Lecture,ENG,201L,,,Liberal Arts LA,School of Liberal Arts LA,3,60
TAX I,Lecture,ACCT,403N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '301N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,57
LIFESPAN DEVELOPMENT,Lecture,COUN,510L,,,Mental Health Counseling BH,Mental Health Counseling BH,3,62
WASH SEM II:U.S.,Lecture,POSC,454L,,,Liberal Arts LA,School of Liberal Arts LA,4,61
ADAPTIVE TEAM LEADERSHIP,Lecture,MS,301N,,,Management SM,School of Management SM,3,63
SPORTS BROADCASTING,Hybrid Lecture/Online,COM,448L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '242L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,58
INTRNTNL RETAILING,Marist Abroad,BUS,325N,,,Management SM,School of Management SM,3,64
FNDN+ETHIC OF COUN,Lecture,COUN,600L,,,Mental Health Counseling BH,Mental Health Counseling BH,3,65
WASH SEM II:ECO.,Lecture,POSC,456L,,,Liberal Arts LA,School of Liberal Arts LA,4,66
ADVANCED LEADERSHIP I,Lecture,MS,401N,,,Management SM,School of Management SM,3,67
ELEM FREN II,Marist Abroad,FREN,102L,,,Liberal Arts LA,School of Liberal Arts LA,3,69
ART OF POETRY,Lecture,ENG,202L,,,Liberal Arts LA,School of Liberal Arts LA,3,70
LDRSHP+MGTMNT IN NONPRFT ORG,Lecture,BUS,335L,,,Management SM,School of Management SM,3,72
GOVT & NON-PROFIT ACCT,Lecture,ACCT,451N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '301N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,68
